id,카드번호,1개당 판매금액,product_code,purchase_time,seller_name,총판매금액,total_purchaseea,고객ID,사업자등록번호
1,118-8816-4816,115000,패션,2024-01-18,나이스,115000,1,choihaeun456,211-81-30457
2,499-3145-1794,21000,도서,2024-01-03,길벗,21000,1,choiseowoo789,105-81-69021
3,496-8313-4846,600000,전자기기,2024-01-26,위니아,600000,1,hwangseoah123,290-85-00804
4,393-8890-6519,350000,전자기기,2024-01-16,삼성전자,350000,1,junghajin890,124-81-00998
5,989-4024-3564,13800,도서,2024-01-25,열린책들,13800,1,jungjiho567,101-81-90181
6,897-7580-1220,128400,공구,2024-01-14,Bosch,128400,1,kangjia901,314-81-70874
7,604-1325-7579,17700,도서,2024-01-23,길벗,17700,1,kangsoyul678,105-81-69021
8,326-6430-8907,39600,식품,2024-01-03,농심,39600,1,kimminjun123,118-81-03914
9,667-9801-5998,45000,리빙,2024-01-19,모던홈,45000,1,kimtaewoo456,106-81-54897
10,401-4344-4672,800000,리빙,2024-01-04,모던홈,800000,1,kwonhayul345,106-81-54897
11,440-9325-8184,13800,도서,2024-01-14,열린책들,13800,1,leejian567,101-81-90181
12,338-3064-9348,22000,도서,2024-01-05,열린책들,22000,1,leeseoyeon234,101-81-90181
13,589-3176-5724,128400,공구,2024-01-25,Bosch,128400,1,limyuna890,314-81-70874
14,552-1199-3545,150000,리빙,2024-01-01,모던홈,150000,1,nohjunhyuk012,106-81-54897
15,832-8847-7656,43900,식품,2024-01-23,농협,43900,1,ohsiwoo234,119-85-45180
16,857-7882-7770,22000,도서,2024-01-26,열린책들,22000,1,parkdoyun345,101-81-90181
17,247-2596-5623,700000,전자기기,2024-01-31,삼성전자,700000,1,parkyejun678,124-81-00998
18,354-2077-6032,700000,전자기기,2024-01-28,삼성전자,700000,1,sonminseo901,124-81-00998
19,834-2467-5017,39500,식품,2024-01-15,(주)횡성명품한우유통사업단,39500,1,yoondoyun012,233-87-00692
20,996-1567-2673,21000,도서,2024-01-30,길벗,21000,1,yoonhajun789,105-81-69021
21,118-8816-4816,800000,리빙,2024-01-21,모던홈,800000,1,choihaeun456,106-81-54897
22,499-3145-1794,26000,식품,2024-01-28,롯데칠성음료,26000,1,choiseowoo789,214-81-07770
23,496-8313-4846,28000,식품,2024-01-22,도드람양돈협동조합,28000,1,hwangseoah123,126-82-04416
24,393-8890-6519,36000,공구,2024-01-04,Bosch,36000,1,junghajin890,314-81-70874
25,989-4024-3564,419000,전자기기,2024-01-07,알파스캔,419000,1,jungjiho567,116-81-50968
26,897-7580-1220,700000,리빙,2024-01-25,모던홈,700000,1,kangjia901,106-81-54897
